Название,Модель,ID груза,Дата,Время погрузки,Время отгрузки,Производитель
"Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,1200,09/02/21,10:00:26 AM,10:01:01,"НПП ""ПРОМА"""
"Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,1201,09/02/21,10:00:41 AM,10:01:15,"НПП ""ПРОМА"""
"Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,1202,09/02/21,10:00:55 AM,10:01:34,"НПП ""ПРОМА"""
"Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,1203,09/02/21,10:01:10 AM,10:01:49,"НПП ""ПРОМА"""
Датчик давления микропроцессорный,ДДМ-03-МИ,1204,09/02/21,10:01:25 AM,10:02:04,"НПП ""ПРОМА"""
Датчик давления микропроцессорный,ДДМ-03-МИ,1205,09/02/21,10:01:39 AM,10:02:18,"НПП ""ПРОМА"""
Манометр ТМ серии 10,ТМ-310,1206,09/02/21,11:00:59 AM,11:01:34,"ЗАО ""РОСМА"""
Манометр ТМ серии 10,ТМ-310,1207,09/02/21,11:01:14 AM,11:01:48,"ЗАО ""РОСМА"""
Манометр ТМ серии 10,ТМ-310,1208,09/02/21,11:01:28 AM,11:02:03,"ЗАО ""РОСМА"""
Манометр ТМ серии 10,ТМ-510,1209,09/02/21,11:01:43 AM,11:02:27,"ЗАО ""РОСМА"""
Манометр ТМ серии 10,ТМ-510,1210,09/02/21,11:01:58 AM,11:02:42,"ЗАО ""РОСМА"""
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1211,09/02/21,2:14:14 PM,14:14:58,"НПП ""ПРОМА"""
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1212,09/02/21,2:14:29 PM,14:15:05,"НПП ""ПРОМА"""
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1213,09/02/21,2:14:43 PM,14:15:20,"НПП ""ПРОМА"""
Измеритель уровня,ПРОМА-ИУ-010,1214,09/02/21,2:14:58 PM,14:15:34,"НПП ""ПРОМА"""
Измеритель уровня,ПРОМА-ИУ-010,1215,09/02/21,2:15:13 PM,14:15:49,"НПП ""ПРОМА"""
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1216,09/02/21,2:15:27 PM,14:16:04,"НПП ""ПРОМА"""
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1217,09/02/21,2:15:42 PM,14:16:18,"НПП ""ПРОМА"""
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1218,09/02/21,2:15:57 PM,14:16:32,"НПП ""ПРОМА"""
Термометр промышленный,TG53,1219,09/02/21,4:47:06 PM,16:47:41,"АО ""ВИКА МЕРА"""
Термометр промышленный,TG53,1220,09/02/21,4:47:21 PM,16:47:56,"АО ""ВИКА МЕРА"""
Термометр промышленный,TG53,1221,09/02/21,4:47:35 PM,16:48:10,"АО ""ВИКА МЕРА"""
Термометр промышленный,TG53,1222,09/02/21,4:47:50 PM,16:48:25,"АО ""ВИКА МЕРА"""
Биметаллический термометр,A50,1223,09/02/21,4:48:05 PM,16:48:39,"АО ""ВИКА МЕРА"""
Биметаллический термометр,A50,1224,09/02/21,4:48:19 PM,16:48:54,"АО ""ВИКА МЕРА"""
Биметаллический термометр,A50,1225,09/02/21,4:48:34 PM,16:49:09,"АО ""ВИКА МЕРА"""
Манометрический термометр с электрическим выходным сигналом,TGT73,1226,09/02/21,4:48:49 PM,16:49:23,"АО ""ВИКА МЕРА"""
Манометрический термометр с электрическим выходным сигналом,TGT73,1227,09/02/21,4:49:04 PM,16:49:38,"АО ""ВИКА МЕРА"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ Р 52544—2006 сталь ст.В500С диаметр 5",1228,09/02/21,5:18:38 PM,17:19:13,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ Р 52544—2006 сталь ст.В500С диаметр 5",1229,09/02/21,5:18:53 PM,17:19:27,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ Р 52544—2006 сталь ст.В500С диаметр 5",1230,09/02/21,5:19:07 PM,17:19:42,"ООО ""ЧерметПрокат"""
Арматура,"Арматура гладкая круг ГОСТ 5781-82,2590-88 сталь ст.3сп диаметр 6",1231,09/02/21,5:19:22 PM,17:19:57,"ООО ""ЧерметПрокат"""
Арматура,"Арматура гладкая круг ГОСТ 5781-82,2590-88 сталь ст.3сп диаметр 6",1232,09/02/21,5:19:37 PM,17:20:20,"ООО ""ЧерметПрокат"""
Арматура,"Арматура гладкая круг ГОСТ 5781-82,2590-88 сталь ст.3сп диаметр 6",1233,09/02/21,5:19:51 PM,17:20:35,"ООО ""ЧерметПрокат"""
Арматура,"Арматура гладкая круг ГОСТ 5781-82,2590-88 сталь ст.3сп диаметр 6",1234,09/02/21,5:20:06 PM,17:20:49,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1235,09/02/21,5:20:21 PM,17:21:04,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1236,09/02/21,5:20:36 PM,17:21:19,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1237,09/02/21,5:20:50 PM,17:21:33,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1238,09/02/21,5:21:05 PM,17:21:48,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1239,09/02/21,5:21:20 PM,17:22:03,"ООО ""ЧерметПрокат"""
Электронный измеритель низкого давления,ОВЕН ПД150,1240,09/02/21,6:01:52 PM,18:02:35,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1241,09/02/21,6:02:07 PM,18:02:45,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1242,09/02/21,6:02:21 PM,18:02:59,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1243,09/02/21,6:02:36 PM,18:03:14,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1244,09/02/21,6:02:51 PM,18:03:29,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1245,09/02/21,6:03:05 PM,18:03:43,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1246,09/02/21,6:03:20 PM,18:03:58,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1247,09/02/21,6:03:35 PM,18:04:13,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1248,09/02/21,6:03:50 PM,18:04:28,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1249,09/02/21,6:04:04 PM,18:04:42,"АРК ""Энергосервис"""
